Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Golden Arrow Restaurant,T. Nagar,"['South Indian', ' North Indian', ' Chinese', ' Fast Food']",Favourite Dishe,600.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Wifi', 'Indoor Seating', 'Table reservation required']"
RJ Spicy Kitchen,Anna Salai,"['Chinese', ' North Indian']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Cone Pizza,Tambaram,"['Pizza', ' Fast Food']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Ajantha Bakery,Red Hills,"['Bakery', ' Street Food', ' Fast Food']",Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Desserts and Bakes', 'Indoor Seating']"
Juice Exotica,Tiruvottiyur,"['Beverages', ' Fast Food']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,3.6,28,"['Home Delivery', 'Indoor Seating']"
The Thepla House,Sowcarpet,['Gujarati'],Favourite Dishe,400.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Home Delivery']
Molaga Chemistry,Madipakkam,"['South Indian', ' Chinese', ' BBQ']",Favourite Dishe,500.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Indoor Seating']"
Akshaya Sai Tender Juice Land,Ramapuram,"['Beverages', ' Fast Food']",Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Biryani.Com,Sholinganallur,"['Biryani', ' Mughlai', ' Fast Food']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Six Taste,George Town,"['Sandwich', ' Beverages']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Takeaway Only']"
Hotel Mubarak,Madhavaram,"['North Indian', ' Chinese', ' Biryani']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,4.3,90,"['Home Delivery', 'Indoor Seating']"
Hotel Balaji,Arumbakkam,"['South Indian', ' North Indian', ' Chinese']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Vegetarian Only', 'Indoor Seating']"
